study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,origin,setting,age,sex,mean_mass_g,lon,lat,trt_temp,bio_hier,trait,response,response_unit,mass_corrected,disp_trait,disp_unit,measure_time_h,time_lag_days,sample_size,chi,F,t,df,corr_coeff,corr_corrected,dispersal_def,notes,title,ref
30,Dyck,2016,text,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,indoor lab,Adult,Female,,,,,Organism,Metabolism,Routine MR,residual CO2 production (ml_CO2_h),y,Activity,residual,,0,109,,,,,0.57,n,,,,
31,McDonald,2007,Fig 6,Ectotherm,Osteichthyes,Oncorhynchus_mykiss,Oncorhynchus mykiss gairdneri,lab,indoor lab,Juvenile,Mixed,2.5,,,14,Organism,Locomotor capacity,Endurance,min,n,Activity,n transits,168,,12,,,,,0.92569803,n,,,"The Relationships among Sprint Performance, Voluntary Swimming Activity, and Social Dominance in Juvenile Rainbow Trout",https://www.journals.uchicago.edu/doi/full/10.1086/521089
32,Seebacher,2015,Fig 2,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.31,,,,Organism,Locomotor capacity,Ucrit,Pathway model,y,Activity,BL s,0.0166667,0,24,,,,,0.41,n,,,Skeletal muscle contractile function predicts activity and behaviour in zebrafish,https://jeb.biologists.org/content/218/24/3878?utm_source=TrendMD&utm_medium=cpc&utm_campaign=J_Exp_Biol_TrendMD_0
32,Seebacher,2015,Fig 2,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.31,,,23,Organism,Musculoskeletal,Muscle biomechanics,Pathway model,y,Activity,BL s,0.0166667,0,24,,,,,0.5,n,,,,
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,18,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.0166667,0,12,,,,,0.2458525,n,,,Energetic cost determines voluntary movement speed only in familiar environments,https://jeb.biologists.org/content/219/11/1625?utm_source=TrendMD&utm_medium=cpc&utm_campaign=J_Exp_Biol_TrendMD_0
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,24,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.0166667,0,12,,,,,-0.2867616,n,,,,
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,30,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.0166667,0,13,,,,,0.68927,n,,,,
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,18,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.166667,0,12,,,,,0.1186094,n,,,,
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,24,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.166667,0,12,,,,,-0.1448508,n,,,,
33,Seebacher,2016,Fig 5,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,30,Organism,Locomotor capacity,Ucrit,m s,n,Activity,m s,0.166667,0,13,,,,,0.1214463,n,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,18,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.0166667,0,12,,,,,-0.31652241,y,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,24,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.0166667,0,13,,,,,0.06223095,y,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,30,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.0166667,0,14,,,,,-0.37401681,y,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,18,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.166667,0,12,,,,,-0.5496612,y,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,24,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.166667,0,13,,,,,0.5208151,y,,,,
33,Seebacher,2016,Fig 6,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.51,,,30,Organism,Locomotor capacity,CoT,W kg,y,Activity,m s,0.166667,0,14,,,,,0.2750186,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,s,0.333333,,10,,,,,-0.448939804,y,time to leave first pool,,Transgenerational effects and acclimation affect dispersal in guppies,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13105
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,s,0.333333,,11,,,,,-0.221006306,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,s,0.333333,,9,,,,,-0.225033637,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,s,0.333333,,11,,,,,0.582081339,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,s,0.333333,,10,,,,,0.166698309,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,s,0.333333,,11,,,,,0.171622768,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,s,0.333333,,9,,,,,-0.372913954,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,s,0.333333,,11,,,,,-0.027549994,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,n,0.333333,,10,,,,,-0.523133602,n,number of dispersal decisions,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,n,0.333333,,11,,,,,-0.310437488,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,n,0.333333,,9,,,,,-0.464260867,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Exploration,n,0.333333,,11,,,,,0.191904691,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,n,0.333333,,10,,,,,0.246906133,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,n,0.333333,,11,,,,,0.082728196,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,n,0.333333,,9,,,,,-0.046736973,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Exploration,n,0.333333,,11,,,,,-0.032957552,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Activity,m s,0.333333,,10,,,,,0.342570276,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Activity,m s,0.333333,,7,,,,,-0.218502194,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Activity,m s,0.333333,,11,,,,,-0.772212192,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,y,Activity,m s,0.333333,,10,,,,,-0.265697986,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Activity,m s,0.333333,,10,,,,,-0.467972865,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Activity,m s,0.333333,,7,,,,,-0.062383363,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Activity,m s,0.333333,,11,,,,,-0.566472196,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,y,Activity,m s,0.333333,,10,,,,,0.186590048,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,10,,,,,0.467591296,y,number of dispersal decisions,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,7,,,,,0.327798332,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,11,,,,,-0.048422009,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,10,,,,,-0.553425897,y,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,10,,,,,0.155696681,n,number of dispersal decisions,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,7,,,,,0.138646434,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,11,,,,,0.374471256,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,10,,,,,-0.319240625,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,10,,,,,-0.27900193,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,22,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,7,,,,,0.029188249,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Male,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,11,,,,,-0.158366488,n,,,,
34,Le Roy,2018,raw data,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,indoor lab,Adult,Female,,,,30,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,10,,,,,0.154782525,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.7956,,,23,Organism,Locomotor capacity,CoT,W kg,y,Activity,m,0.166667,1,25,,,,,0.441562767,y,,,Cost of transport is a repeatable trait but is not determined by mitochondrial efficiency in zebrafish (Danio rerio),https://jeb.biologists.org/content/222/9/jeb201400.abstract
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.7956,,,23,Organism,Locomotor capacity,CoT,W kg,y,Exploration,n,0.166667,1,25,,,,,0.401461331,y,number of dispersal decisions,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,P/O ratio,ratio,y,Activity,m,0.166667,1,20,,,,,0.44583521,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,P/O ratio,ratio,y,Exploration,n,0.166667,1,20,,,,,0.401309947,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,State III,nmol O min mg,y,Activity,m,0.166667,1,20,,,,,-0.270472694,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,State III,nmol O min mg,y,Exploration,n,0.166667,1,20,,,,,-0.294236421,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,State IV,nmol O min mg,y,Activity,m,0.166667,1,20,,,,,0.0908784,n,,,,
35,Jahn,2019,raw data,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,indoor lab,Adult,Mixed,0.826666667,,,23,Cellular,Metabolism,State IV,nmol O min mg,y,Exploration,n,0.166667,1,20,,,,,0.133134613,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Max MR,ml O2 min,n,Activity,m,23.5,0,49,,,,,0.483,n,,,Running Behavior and Its Energy Cost in Mice Selectively Bred for High Voluntary Locomotor Activity,https://www.journals.uchicago.edu/doi/full/10.1086/605917
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Routine MR,ml O2 min,n,Activity,m,23.5,0,49,,,,,0.769,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Resting MR,ml O2 min,n,Activity,m,23.5,0,49,,,,,0.419,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Locomotor capacity,Sprint speed,m min,n,Activity,m,23.5,0,49,,,,,0.34,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Max MR,ml O2 min,n,Activity,min,23.5,0,49,,,,,0.368,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Routine MR,ml O2 min,n,Activity,min,23.5,0,49,,,,,0.83,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Metabolism,Resting MR,ml O2 min,n,Activity,min,23.5,0,49,,,,,0.467,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Male,35,,,23.5,Organism,Locomotor capacity,Sprint speed,m min,n,Activity,min,23.5,0,49,,,,,0.098,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Max MR,ml O2 min,n,Activity,m,23.5,0,47,,,,,0.526,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Routine MR,ml O2 min,n,Activity,m,23.5,0,47,,,,,0.395,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Resting MR,ml O2 min,n,Activity,m,23.5,0,47,,,,,-0.023,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Locomotor capacity,Sprint speed,m min,n,Activity,m,23.5,0,47,,,,,0.659,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Max MR,ml O2 min,n,Activity,min,23.5,0,47,,,,,0.205,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Routine MR,ml O2 min,n,Activity,min,23.5,0,47,,,,,0.535,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Metabolism,Resting MR,ml O2 min,n,Activity,min,23.5,0,47,,,,,0.169,n,,,,
36,Rezende,2009,Table 3,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,indoor lab,Adult,Female,25,,,23.5,Organism,Locomotor capacity,Sprint speed,m min,n,Activity,min,23.5,0,47,,,,,-0.182,n,,,,
37,Ousterhout,2018,raw data,Ectotherm,Amphibia,Ambystoma_annulatum,Ambystoma annulatum,wild,wild,Juvenile,Mixed,1.406666667,-92.156551,37.693806,,Organism,Condition,Body condition,index,y,Dispersal,m detection,168,0,27,,,,,0.155628672,n,,,Effects of conditionally expressed phenotypes and environment on amphibian dispersal in nature,https://onlinelibrary.wiley.com/doi/full/10.1111/oik.05276
37,Ousterhout,2018,raw data,Ectotherm,Amphibia,Ambystoma_annulatum,Ambystoma annulatum,wild,wild,Juvenile,Mixed,1.406666667,,,,Organism,Condition,Body condition,index,y,Exploration,cm,168,0,27,,,,,0.261021059,n,,,,
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Anaxyrus_boreas,Anaxyrus boreas boreas,wild,indoor lab,Juvenile,Mixed,0.289485,-122.303267,44.65635,20,Organism,Condition,Body condition,index,y,Activity,m,1,0,60,,,,,0.146745077,n,,,The integrative effects of behavior and morphology on amphibian movement,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.4837
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Anaxyrus_boreas,Anaxyrus boreas boreas,wild,indoor lab,Juvenile,Mixed,0.289485,,,20,Organism,Locomotor capacity,Max jump,cm,n,Activity,m,1,0,60,,,,,0.220548388,n,,,,
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Hyliola_regilla,Pseudacris regilla,wild,indoor lab,Juvenile,Mixed,0.249673333,,,20,Organism,Condition,Body condition,index,y,Activity,m,1,0,60,,,,,0.477018015,n,,,,
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Hyliola_regilla,Pseudacris regilla,wild,indoor lab,Juvenile,Mixed,0.249673333,,,20,Organism,Locomotor capacity,Max jump,cm,n,Activity,m,1,0,60,,,,,0.343558206,n,,,,
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Rana_cascadae,Rana cascadae,wild,indoor lab,Juvenile,Mixed,0.335332727,,,20,Organism,Condition,Body condition,index,y,Activity,m,1,0,60,,,,,0.193461615,n,,,,
38,Bredeweg,2019,raw data,Ectotherm,Amphibia,Rana_cascadae,Rana cascadae,wild,indoor lab,Juvenile,Mixed,0.335332727,,,20,Organism,Locomotor capacity,Max jump,cm,n,Activity,m,1,0,60,,,,,0.092690505,n,,,,
39,Serrano,2021,Fig 5,Endotherm,Aves,Neophron_percnopterus,Neophron percnopterus majorensis,wild,wild,Adult,Female,2000,-4.096924,40.940471,,Organism,Condition,Body condition,index,y,Dispersal,m,26280,0,18,,,,,0.2983326,n,distance between the birth site and the nest site where birds attempted to breed for the first time,,Phenotypic and environmental correlates of natal dispersal in a long-lived territorial vulture,https://www.nature.com/articles/s41598-021-84811-8#Tab3
40,Clark,2019,Fig 4,Ectotherm,Osteichthyes,Fundulus_olivaceus,Fundulus olivaceus,wild,wild,Adult,Male,2.11,-88.820599,30.828699,,Organism,Condition,Body condition,index,y,Activity,m,720,14,24,,,,,0.342286294,n,,,Scale dependence of sex?specific movement in a small?bodied stream fish,https://onlinelibrary.wiley.com/doi/full/10.1111/fwb.13309
40,Clark,2019,Fig 4,Ectotherm,Osteichthyes,Fundulus_olivaceus,Fundulus olivaceus,wild,wild,Adult,Female,2.01,,,,Organism,Condition,Body condition,index,y,Activity,m,720,14,24,,,,,-0.004097874,n,,,,
41,Fattebert,2019,raw data,Endotherm,Aves,Athene_noctua,Athene noctua,wild,wild,Adult,Male,137.8477612,,,,Organism,Condition,Body condition,index,y,Dispersal,km,504,,40,,,,,-0.19097,n,distance from natal site,,Experimentally disentangling intrinsic and extrinsic drivers of natal dispersal in a nocturnal raptor,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2019.1537
41,Fattebert,2019,raw data,Endotherm,Aves,Athene_noctua,Athene noctua,wild,wild,Adult,Female,141.4588235,9.193333,48.893333,,Organism,Condition,Body condition,index,y,Dispersal,km,504,,50,,,,,0.014966649,n,,,,
42,Hewison,2021,raw data,Endotherm,Mammalia,Capreolus_capreolus,Capreolus capreolus bedfordi,wild,wild,Juvenile,Male,17491.59225,,,,Organism,Condition,Body condition,index,y,Dispersal,km,2035.2,,68,,,,,0.208187739,n,distance from natal site,,Sex differences in condition dependence of natal dispersal in a large herbivore: dispersal propensity and distance are decoupled,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2020.2947
42,Hewison,2021,raw data,Endotherm,Mammalia,Capreolus_capreolus,Capreolus capreolus bedfordi,wild,wild,Juvenile,Female,16160.40018,0.883333,43.283333,,Organism,Condition,Body condition,index,y,Dispersal,km,2035.2,,78,,,,,0.148176513,n,,,,
43,Searcy,2018,text,Ectotherm,Amphibia,Rana_clamitans,Rana clamitans melanota,wild,wild,Juvenile,Mixed,12.98820059,-79.9,44.05,,Organism,Condition,Body condition,index,y,Dispersal,m,8760,,246,1.9,,,,0.087883885,n,,,Positive correlation between dispersal and body size in Green Frogs (Rana clamitans) naturally colonizing an experimental landscape,https://cdnsciencepub.com/doi/10.1139/cjz-2018-0069?journalCode=cjz#refg6
44,Moore,2016,text,Ectotherm,Amphibia,Ambystoma_tigrinum,Ambystoma tigrinum,wild,wild,Adult,Mixed,,-107.1,39.033333,,Organism,Condition,Body condition,index,y,Dispersal,%,2190,0,157,,3.4,,146,0.150856546,n,likelihood of dispersal,,Natal philopatry varies with larval condition in salamanders,https://link.springer.com/article/10.1007/s00265-016-2133-z
45,Spaan,2019,Table S3,Endotherm,Mammalia,Syncerus_caffer,Syncerus caffer caffer,wild,wild,Adult,Female,450000,31.873859,-24.643521,,Organism,Condition,Body condition,index,y,Dispersal,%,39420,,415,,,,,-0.4,n,likelihood of dispersal,Lower Sabie,"Why did the buffalo cross the park? Resource shortages, but not infections, drive dispersal in female African buffalo (Syncerus caffer)",https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.5145
45,Spaan,2019,Table S3,Endotherm,Mammalia,Syncerus_caffer,Syncerus caffer caffer,wild,wild,Adult,Female,450000,31.772127,-25.293122,,Organism,Condition,Body condition,index,y,Dispersal,%,39420,,508,,,,,-0.53,n,,Crocodile Bridge,,
46,Azpillaga,2018,Fig 7,Endotherm,Aves,Aquila_fasciata,Hieraaetus fasciatus fasciatus,wild,wild,Adult,Female,1784.045333,2.628343,41.656059,,Organism,Condition,Body condition,index,y,Dispersal,km,,,31,,,,,0.261753183,n,,,Effects of rearing conditions on natal dispersal processes in a long?lived predator bird,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.4165
46,Azpillaga,2018,Fig 7,Endotherm,Aves,Aquila_fasciata,Hieraaetus fasciatus fasciatus,wild,wild,Adult,Male,1425.764556,,,,Organism,Condition,Body condition,index,y,Dispersal,km,,,31,,,,,0.001,n,,,,
